Year,Publication,Title,First Author,Affiliation,Process,Loss (dB),Loss Frequency (GHz),Speed (Gb/s),Power(mW),Energy/Bit [pJ],
2015,CICC,A 5.4-mW 4-Gb/s 5-Band QPSK Transceiver for FrequencyDivision Multiplexing Memory Interface,Wei-Han Cho,UCLA,40,,,4,5.4,1.35,
2015,CICC,A power-and-area efficient 10 × 10 Gb/s bootstrap transceiver in 40 nm CMOS for reference-less and lane-independent operation,Joon-Yeong Lee,KAIST,40,,,10,41.6,4.16,
2015,CICC,A 1.8-pJ/bit 16x16-Gb/s Source Synchronous Parallel Interface in 32nm SOI CMOS with Receiver Redundancy for Link Recalibration,Timothy O. Dickson,IBM,32,10,,16,30.4,1.90,
2015,CICC,A 190mW 40Gbps SerDes Transmitter and Receiver Chipset in 65nm CMOS Technology,Ke Huang,Tsinghua,65,15,,40,190,4.75,
2015,VLSI,"A 0.5-to-0.75V, 3-to-8 Gbps/lane, 385-to-790 fJ/b, Bi-Directional, Quad-Lane Forwarded-Clock Transceiver in 22nm CMOS",Rajesh Inti,Intel,22,12,,8,6.32,0.79,
2015,VLSI,A 3.8 mW/Gbps Quad-Channel 8.5-13 Gbps Serial Link with a 5-Tap DFE and a 4-Tap Transmit FFE in 28 nm CMOS ,Tamer Ali,Broadcom,28,35,,13,49,3.80,
2015,VLSI, A 1.2-2.5Gb/s 1.4-2pJ/b Serial link in 22nm  CMOS  with a direct data-sequencing blind oversampling  CDR,Sudip Shekhar,British Columbia,22,,,5,10,2.00,
2015,VLSI,A 2.8mW/Gb/s 14Gb/s Serial Link Transceiver in 65nm CMOS,Saurabh Saxena,UIUC,65,12,,14,39.2,2.80,
2015,VLSI,A 100-GbE Reverse Gearbox IC in 40nm CMOS for Supporting Legacy 10- and 40-GbE Standards,Taehun Yoon,KAIST,40,,,25,98,3.92,
2015,VLSI,A 4×9 Gb/s 1 pJ/b NRZ/Multi-Tone Serial-Data Transceiver with Crosstalk Reduction Architecture for Multi-Drop Memory Interfaces in 40nm CMOS,Kiarash Gharibdoust,EPFL,40,,,9,9,1.00,
2015,VLSI,56Gb/s PAM4 and NRZ SerDes Transceivers in 40nm CMOS ,Jri-Lee,NTU ,40,,,56,670,11.96,
2015,VLSI,56Gb/s PAM4 and NRZ SerDes Transceivers in 40nm CMOS ,Jri-Lee,NTU ,40,,,56,710,12.60,
2015,ISSCC , A 0.45-to-0.7V 1-to-6Gb/s 0.29-to-0.58pJ/b Source-Synchronous Transceiver Using Automatic Phase Calibration in 65nm CMOS,Woo-Seok Choi,UIUC,65,,,6,3.48,0.58,
2015,ISSCC,1V 10Gb/s/pin single-ended transceiver with controllable active-inductor-based driver and adaptively calibrated cascaded-DFE for post-LPDDR4 interfaces,J. Song,Korea Univ.,65,,,10,49,4.90,
2015,ISSCC,"A 7Gb/s rapid on/off embedded-clock serial link transceiver with 20ns Power-On time, 740uW off-state power for energy proportional links in 65nm CMOS",T. Anand,UIUC,65,,,7,63.7,9.10,
2015,ISSCC,A 0.5-to-32.75Gb/s Flexible-reach wireline transceiver in 20nm CMOS,P. Upadhaya,Xilinx,20,10.4,,32.75,785,23.97,
2015,ISSCC,Multi-Standard 185fsrms 0.3-to-28Gb/s 40dB backplane signal conditioner with adaptive pattern-match 36-Tap DFE and Data-Rate-Adjustment PLL in 28nm CMOS,T. Kawamoto,Hitachi,28,40,,28,702.8,25.10,
2015,ISSCC,a 28gb/s multi-standard serial link transceiver for backplane applications in 28nm CMOS,B. Zang,Broadcom,28,40,,28,295,10.54,
2014,VLSI,A 40Gb/s serial link transceiver in 28nm CMOS Technology,E-H. Chen,Rambus,28,20,,40,927,23.18,
2014,VLSI,A 36 Gb/s 16.9mW transceiver in 20nm CMOS with 1-tap DFE and quarter-rate clock distribution,T. Hashida,Fijistu,20,20,,36,609.9,16.94,
2014,ISSCC,A pin-and power-efficient low-latency 8-to-12Gb/s/wire 8b8w-coded serdes link for high loss channels in 40nm technology,A. Singh,Kandou,40,15,,12,51.5,4.29,
2014,ISSCC,a 205mW 32Gb/s 3-tap FFE/6-tap DFE bidirectional serial link in 22nm CMOS,J. Jaussi,Intel,22,26,,32,205,6.41,
2014,ISSCC,a 130nm 20Gb/s half-duplex serial link in 28nm CMOS,V. Balan,nVidia,28,20,,20,130,6.50,
2014,ISSCC,A 780mW 4x28Gb/s transceiver for 100GbE gearbox phy in 40nm CMOS,U. Singh,Broadcom,40,20,,28,780,27.86,
2014,ISSCC,28Gb/s 560mW Multi-Standard SerDes with Single-Stage analog front-end and 14-tap decision feedback equalizer in 28nm CMOS,H. Kimura,LSI,28,34,,28,560,20.00,
2013,VLSI,A 2.8 mW/Gb/s quad-channel 8.5?11.4 Gb/s quasi-digital transceiver in 28 nm CMOS,A. Nazemei,Broadcom,28,21,,11.4,32.2,2.82,
2013,ISSCC,A sub-2W 39.8-to-44.6Gb/s transmitter and receiver chipset with SFI-5.2 interface in 40nm CMOS,B. Raghavan,Broadcom,40,20.4,,44.6,1920,43.05,
2013,ISSCC,A scalable 0.128-to-1Tb/s 0.8-to-2.6pJ/b 64-lane parallel I/O in 32nm CMOS,M. Mansuri,Intel,32,18,,16,41.28,2.58,
2013,ISSCC,A 6.4Gb/s near-ground single-ended transceiver for dual-rank DIMM memory interface systems,K. Kaviani,Rambus,28,,,6.4,58.24,9.10,
2012,VLSI,A wide common-mode fully-adaptive multi-standard 12.5Gb/s backplane transceiver in 28nm CMOS,J. Savoj,Xilinx,28,33,,12.5,335,26.80,
2012,ISSCC,A 28Gb/s 4-tap FFE/15-tap DFE serial link transceiver in 32nm SOI CMOS technology,J. Bulzacchelli,IBM,32,29,,28,393,14.04,
2012,ISSCC,An 8GB/s quad-skew-cancelling parallel transceiver in 90nm CMOS for high-speed DRAM interface,"Kim, Young-Sik","Pohang, Korea",90,,,8,257,32.13,
2012,CICC,An 8.5?11.5Gbps SONET transceiver with referenceless frequency acquisition,"Kocaman, N",Broadcom,65,,,11.5,141,12.26,
2012,CICC,Design of high-speed wireline transceivers for backplane communications in 28nm CMOS,J. Savoj,Xilinx,28,31,,13.1,282,21.53,
2012,CICC,FEC-based 4 Gb/s backplane transceiver in 90nm CMOS,Adam C. Faus,UIUC,90,18.2,,4,50,12.50,
2011,VLSI,A 5.6Gb/s 2.4mW/Gb/s bidirectional link with 8ns power-on,J. Zerbe,Rambus,40,,,5.6,13.4,2.40,
2011,VLSI,An 8x10-Gb/s Source-Synchronous I/O System Based on High-Density Silicon Carrier Interconnects,Timothy O. Dickson,IBM,45,16.3,,9,54.9,6.10,
2011,ISSCC,An 8.4Gb/s 2.5pJ/b mobile memory I/O interface using simultaneous bidirectional Dual (Base #x002B RF) band signaling,"Byun, Gyung-Su",UCLA,65,,,8.4,21,2.50,
2011,ISSCC,A 40Gb/s TX and RX chip set in 65nm CMOS,"Chen, Ming-Shuan","NTU, Taiwan",65,18,,40,457,11.43,
2011,ISSCC,A 4-channel 10.3Gb/s transceiver with adaptive phase equalizer for 4-to-41dB loss PCB channel,"Y, Hidaka",Fijistu,90,34.9,,12.5,348,27.84,
2011,ISSCC,A highly digital 0.5-to-4Gb/s 1.9mW/Gb/s serial-link transceiver using current-recycling in 90nm CMOS,R. Inti,OSU,90,,,4,7.2,1.80,
2011,ISSCC,11.3Gb/s CMOS SONET-compliant transceiver for both RZ and NRZ applications,N. Kocaman,Broadcom,65,,,11.3,214,18.94,
2011,ISSCC,An 8.4mW/Gb/s 4-lane 48Gb/s multi-standard-compliant transceiver in 40nm digital CMOS technology,M. Ramezani,Snowbush-Gennum,40,22,,8,73,9.13,
2011,ISSCC,A 4.8Gb/s impedance-matched bidirectional multi-drop transceiver for high-capacity memory interface,"Shin, Woo-Yeol",SNU,130,,,4.8,68.352,14.24,
2011,CICC,A 19 mW/lane Serdes transceiver for SFI-5.1 application,S. Fallahi,Broadcom,40,,,3.125,19,6.08,
2011,CICC,A 16-Gb/s backplane transceiver with 12-tap current integrating DFE and dynamic adaptation of voltage offset and timing drifts in 45-nm SOI CMOS technology,G. R. Gangasani,IBM,45,32,,16,385,24.06,
2011,ASSCC,Extending HyperTransport? technology to 8.0 Gb/s in 32-nm SOI-CMOS processors,B. A. doyle,AMD,32,,,8,94.44,11.81,
2010,VLSI,A 40nm 7Gb/s/pin single-ended transceiver with jitter and ISI reduction techniques for high-speed DRAM interface,Seung-Jun Bae,Samsung,40,,,7,27.58,3.94,
2010,ISSCC,A 5-to-25Gb/s 1.6-to-3.8mW/(Gb/s) reconfigurable transceiver in 45nm CMOS,G. Balamurugan,Intel,45,,,10,38,3.80,
2010,ISSCC,A 12.3mW 12.5Gb/s complete transceiver in 65nm CMOS,K. Fukuda,Hitachi,65,12,,12.5,12.3,0.98,
2010,ISSCC,A 1.296-to-5.184Gb/s Transceiver with 2.4mW/(Gb/s) Burst-mode CDR using Dual-Edge Injection-Locked Oscillator,K. Maruko,Sony,40,,,5.184,32.2,6.21,
2010,ISSCC,A 47 #x00D7 10Gb/s 1.4mW/(Gb/s) parallel interface in 45nm CMOS,F. O'Mahony,Intel,40,8,,10,14,1.40,
2010,ISSCC,A 78mW 11.8Gb/s serial link transceiver with adaptive RX equalization and baud-rate CDR in 32nm CMOS,F. Spagna,Intel,32,25,,11.8,78,6.61,
2010,ISSCC,A 5Gb/s transceiver with an ADC-based feedforward CDR and CMA adaptive equalizer in 65nm CMOS,H. Yamaguchi,Fijistu,65,15,,5,280,56.00,
2010,CICC,A 2.5-8Gb/s transceiver with 5-tap DFE and Second order CDR against 28-inch channel and 5000ppm SSC in 40nm CMOS technology,Wei-Cheh Chen,TSMC,40,,,8,223.25,27.91,
2010,CICC,A 16 Gb/s four-wire CDMA-based high speed I/O link with transmitter timing adjustment,Tzu-Chien Hsueu,UCLA,90,5,,16,384,24.00,
2009,VLSI,A 21-Gb/s 87-mW transceiver with FFE/DFE/linear equalizer in 65-nm CMOS technology,"Wang, Huaide","NTU, Taiwan",65,21.2,,20,87,4.35,
2009,VLSI,A 12-Gb/s transceiver in 32-nm bulk CMOS,Sopan Joshi,Intel,32,10,,12,37.8,3.15,
2009,VLSI,Self-calibrating transceiver for source synchronous clocking system with on-chip TDR and swing level control scheme,Young-Chan Jang,Samsung,60,,,1.6,17.5875,10.99,
2009,VLSI,A 4.3GB/s mobile memory interface with power-efficient bandwidth scaling,R. Palmer,Rambus,40,10,,4.3,14.19,3.30,
2009,ISSCC,A 10Gb/s compact low-power serial I/O with DFE-IIR equalization in 65nm CMOS,Liu Yong,IBM,65,19,,8.9,17,1.91,
2009,ISSCC,A 4-channel 10.3Gb/s backplane transceiver macro with 35dB equalizer and sign-based zero-forcing adaptive control,Y. Hidaka,Fijistu,90,35.8,,10.3125,260,25.21,
2009,ISSCC,A 40Gb/s multi-data-rate CMOS transceiver chipset with SFI-5 interface for optical transmission systems,Y. Amamiya,NEC,65,,,40,5600,140.00,
2009,ISSCC,A 500mW digitally calibrated AFE in 65nm CMOS for 10Gb/s Serial links over backplane and multimode fiber,Jun Cao,Broadcom,65,26,,10,1200,120.00,
2009,CICC,A 3?3.8Gb/s four-wire high speed I/O link based on CDMA-like crosstalk cancellation,Tzu-Chien Hsueh,UCLA,90,10,,11.4,307.8,27.00,
2009,ASSCC,A 5Gb/s low-power PCI express/USB3.0 ready PHY in 40nm CMOS technology with high-jitter immunity,,TSMC,40,,,5,125,25.00,
2009,ASSCC,A low latency transceiver macro with robust design technique for processor interface,Zhang Feng,CAS & OSU,65,,,3,91,30.33,
2008,VLSI,A 21-channel 8Gb/s transceiver macro with 3.6ns latency in 90nm CMOS for 80cm backplane communication,A. Hayashi,Hitachi,90,,,8,160,20.00,
2008,VLSI,A 40-Gb/s transceiver in 0.13-?m CMOS technology,Jeong-Kyoum Kim,SNU,130,,,39.5,3600,91.14,
2008,ISSCC,An 8Gb/s Transceiver with 3×-Oversampling 2-Threshold Eye-Tracking CDR Circuit for -36.8dB-loss Backplane,K. Fukuda,Hitachi,90,36.8,,8,232,29.00,
2008,ISSCC,A 20Gb/s Duobinary Transceiver in 90nm CMOS,Jri Lee,"NTU, Taiwan",90,,,20,195,9.75,
2008,ISSCC,A 10Gb/s IEEE 802.3an-Compliant Ethernet Transceiver for 100m UTP Cable in 0.13?m CMOS,S. Gupta,Teranetics,130,,,10,10500,1050.00,
2008,CICC,A 5-Gb/s/pin transceiver for DDR memory interface with a crosstalk suppression scheme,Kwang-II Oh,KAIST,180,,,5,102,20.40,
2008,ASSCC,An ASIC-Ready 1.25?6.25Gb/s SerDes in 90nm CMOS with multi-standard compatibility,Y Nishi,Kawasaki,90,,,6.25,230,36.80,
2008,ASSCC,A 3.2-Gb/s transceiver with a quarter-rate linear phase detector reducing the phase offset,Kyung-Soo Ha,KAIST,180,,,3.2,225,70.31,
2008,ASSCC,A 8 GByte/s transceiver with current-balanced pseudo-differential signaling for memory interface,Seon-Kyoon Lee,Pohang Univ,180,,,8,920.52,115.07,
2007,VLSI,"A Scalable 5-15Gbps, 14-75mW Low Power I/O Transceiver in 65nm CMOS",G. Balamurugan,Intel,65,,,15,75,5.00,
2007,ISSCC,A 250mW Full-Rate 10Gb/s Transceiver Core in 90nm CMOS Using a Tri-State Binary PD with 100ps Gated Digital Output,T. Masuda,Sony,90,,,10,250,25.00,
2007,ISSCC,A 14mW 6.25Gb/s Transceiver in 90nm CMOS for Serial Chip-to-Chip Communications,R. Palmer,Rambus,90,15,,6.25,14,2.24,
2007,ASSCC,A quad 1?10Gb/s serial transceiver in 90nm CMOS,Han Bi,IDT,90,,,10,980,98.00,
2007,ASSCC,A PCI-express Gen2 transceiver with adaptive 2-Tap DFE for up to 12-meter external cabling,Tse-Hsien Yeh,VIA,80,20,,5,116.5,23.30,
2006,VLSI,A Low Power 4.2Gb/s/pin Parallel Link Using Three-Level Differential Encoding,Zogopoulos,SCU-LA,180,,,4.2,71.82,17.10,
2006,VLSI,"Power/Performance/Channel Length Tradeoffs in 1.6 to 9.6Gbps I/O Links in 90nm CMOS for Server, Desktop, and Mobile Applications",Evelina Yeung,Intel,90,9.4,,9.6,169.7,17.68,
2006,ISSCC,A 10Gb/s 5-Tap-DFE/4-Tap-FFE Transceiver in 90nm CMOS,M. Meghelli,IBM,90,24,,10,300,30.00,
2006,ISSCC,A Quad 6Gb/s Multi-rate CMOS Transceiver with TX Rise/Fall-Time Control,Yongsam Moon,Silicon Image,130,22,,6,386,64.33,
2006,ISSCC,A 12.5Gb/s Single-Chip Transceiver for UTP Cables in 0.13/spl mu/m CMOS,M. Callicotte,Keyeye,130,,,12.5,3800,304.00,
2006,ISSCC,A 100mW 9.6Gb/s Transceiver in 90nm CMOS for Next-Generation Memory Interfaces,E. Prete,Infineon,90,,,9.6,100,10.42,
